,Sentiment_score,Emotion,Episode,Season
rachel,0.3307,Surprise,Episode-02-The One Where Ross Is Fine,Season-10
rachel,0.9781,Sad,Episode-03-The One With Ross' Tan,Season-10
rachel,0.9627,Surprise,Episode-04-The One With The Cake,Season-10
rachel,0.9906,Surprise,Episode-05-The One Where Rachel's Sister Baby-sits,Season-10
rachel,0.5106,Surprise,Episode-06-The One With Ross' Grant,Season-10
rachel,-0.0038,Surprise,Episode-07-The One With The Home Study,Season-10
rachel,0.5423,Sad,Episode-08-The One With The Late Thanksgiving,Season-10
rachel,0.9868,Surprise,Episode-09-The One With The Birth Mother,Season-10
rachel,0.9169,Fear,Episode-10-The One Where Chandler Gets Caught,Season-10
rachel,0.9598,Surprise,Episode-11-The One Where The Stripper Cries,Season-10
rachel,0.9354,Sad,Episode-12-The One With Phoebe's Wedding,Season-10
rachel,0.9708,Surprise,Episode-13-The One Where Joey Speaks French,Season-10
rachel,0.9893,Fear,Episode-14-The One With Princess Consuela,Season-10
rachel,0.9559,Fear,Episode-15-The One Where Estelle Dies,Season-10
monica,0.9756,Surprise,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01
monica,0.3948,Fear,Episode-02-The One With the Sonogram at the End,Season-01
monica,0.9424,Surprise,Episode-03-The One With the Thumb,Season-01
monica,0.9842,Surprise,Episode-04-The One With George Stephanopoulos,Season-01
monica,0.8934,Surprise,Episode-05-The One With the East German Laundry Detergent,Season-01
monica,0.25,Fear,Episode-06-The One With the Butt,Season-01
monica,0.296,Surprise,Episode-07-The One With the Blackout,Season-01
monica,0.7717,Surprise,Episode-08-The One Where Nana Dies Twice,Season-01
monica,0.7269,Sad,Episode-09-The One where Underdog Gets Away,Season-01
monica,0.5423,Surprise,Episode-10-The One With the Monkey,Season-01
monica,0.9293,Surprise,Episode-11-The One With Mrs. Bing,Season-01
monica,0.6712,Fear,Episode-12-The One With the Dozen Lasagnas,Season-01
monica,0.4588,Surprise,Episode-13-The One With the Boobies,Season-01
monica,0.6908,Surprise,Episode-14-The One With the Candy Hearts,Season-01
monica,0.986,Fear,Episode-15-The One With the Stoned Guy,Season-01
monica,0.0,Fear,"Episode-16-The One With Two Parts, Part 1",Season-01
monica,-0.9008,Sad,"Episode-17-The One With Two Parts, Part 2",Season-01
monica,0.9001,Sad,Episode-18-The One With All The Poker,Season-01
monica,0.9578,Surprise,Episode-19-The One Where the Monkey Gets Away,Season-01
monica,0.7906,Surprise,Episode-20-The One With the Evil Orthodontist,Season-01
monica,0.2516,Surprise,Episode-21-The One With The Fake Monica,Season-01
