,Sentiment_score,Emotion,Episode,Season
joey,0.8442,Surprise,episode 13,Season-10
joey,0.9422,Surprise,episode 14,Season-10
joey,0.9017,Surprise,episode 15,Season-10
ross,0.9333,Fear,episode 01,Season-01
ross,0.9814,Surprise,episode 02,Season-01
ross,0.7351,Surprise,episode 03,Season-01
ross,0.959,Surprise,episode 04,Season-01
ross,0.9545,Surprise,episode 05,Season-01
ross,0.8658,Fear,episode 06,Season-01
ross,0.3356,Surprise,episode 07,Season-01
ross,0.9624,Fear,episode 08,Season-01
ross,-0.9022,Surprise,episode 09,Season-01
ross,0.7267,Sad,episode 10,Season-01
ross,0.296,Surprise,episode 11,Season-01
ross,0.9855,Surprise,episode 12,Season-01
ross,-0.7997,Sad,episode 13,Season-01
